Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
129,1371.766,37,0.0758,0.1354,0.0616,0.0661,0.0525,0.0606
130,1382.502,37.1,0.0758,0.1371,0.0614,0.0648,0.0529,0.0604
131,1393.217,37.1,0.0764,0.1374,0.0618,0.0677,0.0526,0.0608
132,1403.923,37,0.0763,0.1379,0.0617,0.0652,0.0526,0.0606
133,1414.633,37.1,0.0755,0.1395,0.0618,0.0695,0.0525,0.0605
134,1425.341,37.1,0.0768,0.1383,0.0622,0.0651,0.0526,0.0605
135,1436.057,37,0.077,0.1397,0.0621,0.0651,0.0525,0.0605
136,1446.755,37,0.0762,0.1405,0.0623,0.0651,0.0526,0.0606
137,1457.468,37,0.082,0.1415,0.0627,0.0649,0.0525,0.0605
138,1468.165,37,0.0781,0.1422,0.063,0.0648,0.0525,0.0606
139,1478.854,37.1,0.0773,0.1425,0.0628,0.0649,0.0525,0.0605
140,1489.579,37,0.0776,0.1426,0.0631,0.0649,0.0526,0.0605
141,1500.309,37,0.0762,0.1431,0.0632,0.0651,0.0524,0.0605
142,1511.021,37.1,0.0763,0.1434,0.0637,0.0651,0.0525,0.0606
143,1521.724,36.9,0.0769,0.1461,0.0637,0.065,0.0525,0.0604
144,1532.427,37,0.0767,0.1438,0.064,0.0652,0.0525,0.0605
145,1543.148,37.1,0.0777,0.1431,0.0641,0.0651,0.0524,0.0603
146,1553.856,36.9,0.0773,0.1434,0.064,0.0709,0.0525,0.0605
147,1564.577,37,0.078,0.1439,0.0646,0.0652,0.0525,0.0605
148,1575.294,37,0.0769,0.1441,0.0647,0.0662,0.0524,0.0605
149,1585.996,37.1,0.0776,0.143,0.0652,0.0652,0.0527,0.0605
150,1596.715,37,0.0763,0.1435,0.0652,0.0653,0.0524,0.0606
151,1607.426,37.1,0.077,0.1438,0.066,0.0653,0.0526,0.0606
152,1618.146,37.1,0.0775,0.1424,0.066,0.0652,0.0525,0.0607
153,1628.858,37.1,0.0768,0.1434,0.0663,0.0655,0.0525,0.0606
154,1639.573,37.1,0.0774,0.143,0.0666,0.0652,0.0526,0.0605
155,1650.307,37.1,0.078,0.1423,0.0667,0.0652,0.0527,0.0606
156,1661.037,37.1,0.077,0.1421,0.0671,0.0653,0.0526,0.0606
157,1671.762,37,0.0781,0.1429,0.0673,0.0652,0.0525,0.0605
158,1682.486,37,0.0785,0.143,0.068,0.0654,0.0526,0.0605
159,1693.215,37,0.0776,0.1422,0.0694,0.0654,0.0527,0.0606
160,1703.956,37,0.0772,0.1434,0.0701,0.0654,0.0527,0.0606
161,1714.695,37,0.078,0.1444,0.069,0.0655,0.0526,0.0606
162,1725.429,37,0.0787,0.143,0.0692,0.0652,0.0525,0.0606
163,1736.155,37,0.078,0.1414,0.0696,0.0654,0.0526,0.0605
164,1746.879,37,0.0784,0.1419,0.0715,0.0654,0.0526,0.0606
165,1757.6,37,0.0782,0.1408,0.0703,0.0655,0.0526,0.0606
